desc,link
Skinny Fit Flat-Front Ankle Length Chinos,https://www.ajio.com/john-players-skinny-fit-flat-front-ankle-length-chinos/p/441148584_ltblue
Slim Fit Flat-Front Trousers,https://www.ajio.com/john-players-slim-fit-flat-front-trousers/p/441145668_navy
Cavalry Dobby Tapered Fit Chinos,https://www.ajio.com/netplay-cavalry-dobby-tapered-fit-chinos/p/441140285_khaki
Mid-Rise Flat-Front Cargo Pants,https://www.ajio.com/gap-mid-rise-flat-front-cargo-pants/p/441778038_olive
Checked Slim Fit Flat-Front Trousers,https://www.ajio.com/breakpoint-checked-slim-fit-flat-front-trousers/p/420407762_navy
Slim Fit Flat-Front Trousers,https://www.ajio.com/john-players-slim-fit-flat-front-trousers/p/441145668_olive
Slim Tapered Fit Flat-Front Trousers,https://www.ajio.com/altheory-slim-tapered-fit-flat-front-trousers/p/441314129_black
Slim Fit Flat-Front Trousers,https://www.ajio.com/john-players-slim-fit-flat-front-trousers/p/441145668_beige
Skinny Fit Flat-Front Trousers,https://www.ajio.com/john-players-skinny-fit-flat-front-trousers/p/441138435_beige
Tapered Fit Flat-Front Trousers,https://www.ajio.com/netplay-tapered-fit-flat-front-trousers/p/443007816_olive
Diagonal Pull-On Cropped Chinos,https://www.ajio.com/netplay-diagonal-pull-on-cropped-chinos/p/441140288_navy
Slim Fit Flat-Front Trousers,https://www.ajio.com/british-club-slim-fit-flat-front-trousers/p/469316695_teal
Cargo Pants with Utility Pockets,https://www.ajio.com/buda-jeans-co-cargo-pants-with-utility-pockets/p/469419029_olive
Ankle-Length Flat-Front Pants,https://www.ajio.com/netplay-ankle-length-flat-front-pants/p/443007815_ltgrey
Low-Rise Cargo Joggers,https://www.ajio.com/the-indian-garage-co-low-rise-cargo-joggers/p/460611053_blue
Smith Print Tapered Fit Trousers,https://www.ajio.com/netplay-smith-print-tapered-fit-trousers/p/441140117_khaki
Slim Fit Flat-Front Cargo Pants,https://www.ajio.com/the-indian-garage-co-slim-fit-flat-front-cargo-pants/p/460868224_teal
Solid Slim Fit Cargo Pant,https://www.ajio.com/ivoc-solid-slim-fit-cargo-pant/p/464034617_grey
Tapered Fit Flat-Front Trousers,https://www.ajio.com/club-chino-tapered-fit-flat-front-trousers/p/420427797_black
